legacy_refn,category_hint,source_filename,source_size_bytes,kind,english,headword,target_storage_path_template
53,word,"in (time) ,prep.jpg",23065,jpg,in (time),fra,words/{word_uuid}/flashcard.jpg
54,word,"between ,among ,prep.jpg",26704,jpg,"between, among",tra,words/{word_uuid}/flashcard.jpg
56,word,"under ,prep.jpg",13154,jpg,"under, underneath",sotto,words/{word_uuid}/flashcard.jpg
57,word,"attention ,l (f).jpg",12529,jpg,attention,l‘ attenzione (f),words/{word_uuid}/flashcard.jpg
58,word,"August ,m.swf",4748,swf,August,agosto (m),words/{word_uuid}/flashcard.png
59,word,"aunt ,la.jpg",21374,jpg,aunt,la zia,words/{word_uuid}/flashcard.jpg
60,word,"autumn ,l (m).jpg",37896,jpg,autumn,l‘ autunno (m),words/{word_uuid}/flashcard.jpg
61,word,"avenue ,il.jpg",42368,jpg,avenue,il viale,words/{word_uuid}/flashcard.jpg
62,word,"avocado ,l (m).jpg",55807,jpg,avocado,l‘ avocado (m),words/{word_uuid}/flashcard.jpg
63,word,"awake ,adj.jpg",17476,jpg,awake,sveglio,words/{word_uuid}/flashcard.jpg
64,word,"baby (male) ,il.jpg",14900,jpg,"baby, child (male)",il bambino,words/{word_uuid}/flashcard.jpg
66,word,"ugly ,bad ,nasty ,adj.jpg",37707,jpg,"ugly, bad, nasty",brutto,words/{word_uuid}/flashcard.jpg
67,word,"bag ,la.jpg",32579,jpg,bag,la borsa,words/{word_uuid}/flashcard.jpg
68,word,"bakery ,il.jpg",35736,jpg,bakery,il panificio,words/{word_uuid}/flashcard.jpg
69,word,"ball (playing) ,la.jpg",19911,jpg,ball (playing),la palla,words/{word_uuid}/flashcard.jpg
70,word,"ball (dance) ,il.jpg",16434,jpg,ball (dance),il ballo,words/{word_uuid}/flashcard.jpg
71,word,"banana ,la.jpg",40313,jpg,banana,la banana,words/{word_uuid}/flashcard.jpg
72,word,"bank ,la.jpg",34925,jpg,bank,la banca,words/{word_uuid}/flashcard.jpg
73,word,"banknote ,la.jpg",36860,jpg,banknote,la banconota,words/{word_uuid}/flashcard.jpg
74,word,"bar ,la.jpg",37974,jpg,bar,il bar,words/{word_uuid}/flashcard.jpg
75,word,"bargain (good buy) ,l (m).jpg",45219,jpg,bargain (good buy),l‘ affare (m),words/{word_uuid}/flashcard.jpg
76,word,"basket ,il.jpg",21884,jpg,basket,il cestino,words/{word_uuid}/flashcard.jpg
77,word,"basketball ,la.jpg",29349,jpg,basketball,la pallacanestro,words/{word_uuid}/flashcard.jpg
78,word,"bath ,bathroom ,il.jpg",28937,jpg,"bath, bathroom",il bagno,words/{word_uuid}/flashcard.jpg
79,word,"beach ,la.jpg",16014,jpg,beach,la spiaggia,words/{word_uuid}/flashcard.jpg
80,word,"beard ,la.jpg",19575,jpg,beard,la barba,words/{word_uuid}/flashcard.jpg
82,word,"beauty ,la.jpg",27367,jpg,beauty,la bellezza,words/{word_uuid}/flashcard.jpg
83,word,"because ,conj.jpg",28544,jpg,because,"perché 
<page break> perchè",words/{word_uuid}/flashcard.jpg
84,word,"because of ,prep.swf",968,swf,because of,a causa di,words/{word_uuid}/flashcard.png
85,word,"bed ,il.jpg",24703,jpg,bed,il letto,words/{word_uuid}/flashcard.jpg
86,word,"bedding (bed linen) ,la.jpg",11990,jpg,bedding (bed linen),la biancheria da letto,words/{word_uuid}/flashcard.jpg
87,word,"bedroom (cdl),la.jpg",21419,jpg,bedroom (c... d... l...),la camera da letto,words/{word_uuid}/flashcard.jpg
88,word,"bedspread ,il.jpg",38400,jpg,bedspread,il copriletto,words/{word_uuid}/flashcard.jpg
89,word,"bee ,l (f).jpg",23859,jpg,bee,l‘ ape (f),words/{word_uuid}/flashcard.jpg
90,word,"beer ,la.JPG",19708,jpg,beer,la birra,words/{word_uuid}/flashcard.jpg
91,word,"before ,adv.jpg",11570,jpg,before,prima di,words/{word_uuid}/flashcard.jpg
92,word,"beginning ,il.jpg",11251,jpg,beginning,il principio,words/{word_uuid}/flashcard.jpg
93,word,"behind (at the back) ,prep.jpg",24702,jpg,behind (at the back),dietro,words/{word_uuid}/flashcard.jpg
94,word,"backwards ,adv.jpg",17239,jpg,backwards,indietro,words/{word_uuid}/flashcard.jpg
96,word,"beneath ,adv.jpg",23024,jpg,"down, below (g...)",giù,words/{word_uuid}/flashcard.jpg
98,word,"better (mi) ,adj.jpg",22175,jpg,better (mi...),migliore,words/{word_uuid}/flashcard.jpg
99,word,"better (me) ,adv.jpg",18778,jpg,better (me...),meglio,words/{word_uuid}/flashcard.jpg
100,word,"bicycle ,la.jpg",24137,jpg,bicycle,la bicicletta,words/{word_uuid}/flashcard.jpg
101,word,"big ,adj.jpg",46185,jpg,big,grande,words/{word_uuid}/flashcard.jpg
102,word,"bill ,il.jpg",32155,jpg,bill,il conto,words/{word_uuid}/flashcard.jpg
103,word,"bird ,l (m).jpg",22233,jpg,bird,l‘ uccello (m),words/{word_uuid}/flashcard.jpg
105,word,"birthday ,il.jpg",19453,jpg,birthday,il compleanno,words/{word_uuid}/flashcard.jpg
106,word,"black ,adj.swf",1011,swf,black,nero,words/{word_uuid}/flashcard.png
107,word,"blanket ,la.jpg",23586,jpg,blanket,la coperta,words/{word_uuid}/flashcard.jpg
108,word,"blonde (mf) ,adj.jpg",32328,jpg,blonde,biondo (bionda),words/{word_uuid}/flashcard.jpg
109,word,"blouse ,la.jpg",36561,jpg,blouse,la camicetta,words/{word_uuid}/flashcard.jpg
110,word,"blue ,adj.swf",889,swf,blue (b...),blu,words/{word_uuid}/flashcard.png
111,word,"body ,il.jpg",10639,jpg,body,il corpo,words/{word_uuid}/flashcard.jpg
112,word,"bone ,l (m).jpg",12996,jpg,bone,l‘ osso (m),words/{word_uuid}/flashcard.jpg
113,word,"book ,il.jpg",38843,jpg,book,il libro,words/{word_uuid}/flashcard.jpg
114,word,"boot ,lo.jpg",13883,jpg,boot,lo stivale,words/{word_uuid}/flashcard.jpg
116,word,"bored ,adj.jpg",25168,jpg,bored,annoiato,words/{word_uuid}/flashcard.jpg
117,word,"both (tu ) ,adj prn.jpg",40533,jpg,both (tu ...),tutti e due,words/{word_uuid}/flashcard.jpg
118,word,"both (en) ,adj prn.jpg",40533,jpg,both (en...),entrambi,words/{word_uuid}/flashcard.jpg
119,word,"bottle ,la.jpg",17981,jpg,bottle,la bottiglia,words/{word_uuid}/flashcard.jpg
120,word,"bottom ,il.jpg",37761,jpg,bottom,il fondo,words/{word_uuid}/flashcard.jpg
121,word,"bowl ,dish ,la.jpg",17396,jpg,"bowl, dish",la scodella,words/{word_uuid}/flashcard.jpg
122,word,"boy ,boyfriend ,il.jpg",26888,jpg,"boy, boyfriend",il ragazzo,words/{word_uuid}/flashcard.jpg
123,word,"bread ,il.jpg",63880,jpg,bread,il pane,words/{word_uuid}/flashcard.jpg
124,word,"breakfast ,la.jpg",28892,jpg,breakfast,la colazione,words/{word_uuid}/flashcard.jpg
125,word,"bring me ,exc.jpg",16627,jpg,bring me! (informal),Portami!,words/{word_uuid}/flashcard.jpg
126,word,"brochure ,l (m).jpg",27599,jpg,brochure,l‘ opuscolo (m),words/{word_uuid}/flashcard.jpg
127,word,"broken ,adj.jpg",8983,jpg,broken,rotto,words/{word_uuid}/flashcard.jpg
128,word,"brother ,il.jpg",17401,jpg,brother,il fratello,words/{word_uuid}/flashcard.jpg
129,word,"brown (colour) ,adj.swf",989,swf,brown (ma..),marrone,words/{word_uuid}/flashcard.png
130,word,"brown (chestnut) ,adj.swf",1546,swf,brown (chestnut),castano,words/{word_uuid}/flashcard.png
131,word,"brush ,la.jpg",18020,jpg,brush,la spazzola,words/{word_uuid}/flashcard.jpg
132,word,"building ,il.jpg",30520,jpg,building,l‘ edificio (m),words/{word_uuid}/flashcard.jpg
133,word,"bull ,il.jpg",21499,jpg,bull,il toro,words/{word_uuid}/flashcard.jpg
134,word,"bus ,l (m).jpg",14730,jpg,bus,l‘ autobus (m),words/{word_uuid}/flashcard.jpg
135,word,"bus station ,la.jpg",33175,jpg,bus station,la stazione degli autobus,words/{word_uuid}/flashcard.jpg
136,word,"bus stop ,la.JPG",27167,jpg,bus stop,la fermata d‘autobus,words/{word_uuid}/flashcard.jpg
137,word,"busy ,adj.jpg",22153,jpg,busy,occupato,words/{word_uuid}/flashcard.jpg
138,word,"but ,conj.swf",1457,swf,but (m..),ma,words/{word_uuid}/flashcard.png
139,word,"but (ec) ,prep.swf",1457,swf,"but, except",eccetto,words/{word_uuid}/flashcard.png
140,word,"but (tr) ,prep.swf",1457,swf,"but, except (tr..)",tranne,words/{word_uuid}/flashcard.png
141,word,"but (so) ,adv.swf",1457,swf,"but, only (so…)",soltanto,words/{word_uuid}/flashcard.png
142,word,"butter ,il.jpg",27273,jpg,butter,il burro,words/{word_uuid}/flashcard.jpg
143,word,"butterfly ,la.jpg",26311,jpg,butterfly,la farfalla,words/{word_uuid}/flashcard.jpg
144,word,"cabbage ,il.jpg",46278,jpg,cabbage,il cavolo,words/{word_uuid}/flashcard.jpg
145,word,"restaurant ,il.JPG",25371,jpg,restaurant,il ristorante,words/{word_uuid}/flashcard.jpg
148,word,"can opener ,l (m).jpg",24435,jpg,can opener,l‘ apriscatole (m),words/{word_uuid}/flashcard.jpg
149,word,"can ,tin ,la.jpg",39494,jpg,"can, tin",la scatola,words/{word_uuid}/flashcard.jpg
150,word,"hat ,il.jpg",312489,jpg,hat,il cappello,words/{word_uuid}/flashcard.jpg
151,word,"car ,la.jpg",15582,jpg,"car, machine",la macchina,words/{word_uuid}/flashcard.jpg
152,word,"car park ,il.jpg",30214,jpg,car park,il parcheggio,words/{word_uuid}/flashcard.jpg
153,word,"careful watch out take care ,caution ,exc.jpg",27130,jpg,careful! watch out! take care!,attenzione!,words/{word_uuid}/flashcard.jpg
154,word,"carpet ,rug ,il.jpg",17260,jpg,"carpet, rug",il tappeto,words/{word_uuid}/flashcard.jpg
155,word,"carrot ,la.jpg",37815,jpg,carrot,la carota,words/{word_uuid}/flashcard.jpg
156,word,"cashpoint ,il.jpg",13768,jpg,cashpoint (ATM machine),il bancomat,words/{word_uuid}/flashcard.jpg
157,word,"castle ,il.jpg",29026,jpg,castle,il castello,words/{word_uuid}/flashcard.jpg
158,word,"cat ,il.jpg",15614,jpg,cat,il gatto,words/{word_uuid}/flashcard.jpg
159,word,"cauliflower ,il.jpg",25413,jpg,cauliflower,il cavolfiore,words/{word_uuid}/flashcard.jpg
160,word,"center ,il.jpg",35559,jpg,center,il centro,words/{word_uuid}/flashcard.jpg
161,word,"certain ,adj.jpg",33996,jpg,certain (confident),sicuro,words/{word_uuid}/flashcard.jpg
162,word,"chair ,la.jpg",35024,jpg,"chair, seat",la sedia,words/{word_uuid}/flashcard.jpg
164,word,"change (money) ,il.jpg",10248,jpg,change (money),il resto,words/{word_uuid}/flashcard.jpg
165,word,"change (replacement) ,il.jpg",20671,jpg,change (replacement),il cambiamento,words/{word_uuid}/flashcard.jpg
166,word,"cheap ,adj.jpg",31342,jpg,cheap,economico,words/{word_uuid}/flashcard.jpg
167,word,"cheek ,la.jpg",13393,jpg,cheek,la guancia,words/{word_uuid}/flashcard.jpg
168,word,"cheers ,exc.jpg",28121,jpg,cheers!,salute!,words/{word_uuid}/flashcard.jpg
169,word,"cheese ,il.jpg",24027,jpg,cheese,il formaggio,words/{word_uuid}/flashcard.jpg
170,word,"chemist ,drug store ,la.jpg",24193,jpg,"chemist, drug store",la farmacia,words/{word_uuid}/flashcard.jpg
171,word,"cheque ,l (m).jpg",13428,jpg,"cheque, check",l‘ assegno (m),words/{word_uuid}/flashcard.jpg
172,word,"chest ,il.jpg",10713,jpg,chest,il petto,words/{word_uuid}/flashcard.jpg
173,word,"chicken ,il.jpg",67252,jpg,chicken,il pollo,words/{word_uuid}/flashcard.jpg
176,word,"childhood ,l (f).jpg",30586,jpg,childhood,l‘ infanzia (f),words/{word_uuid}/flashcard.jpg
177,word,"chips ,le (fpl).jpg",34646,jpg,chips,le patatine fritte,words/{word_uuid}/flashcard.jpg
178,word,"chocolate ,il.jpg",26026,jpg,chocolate,il cioccolato,words/{word_uuid}/flashcard.jpg
179,word,"chores ,le (fpl).jpg",28193,jpg,chores,le faccende domestiche,words/{word_uuid}/flashcard.jpg
180,word,"church ,la.jpg",14720,jpg,church,la chiesa,words/{word_uuid}/flashcard.jpg
182,word,"cinema ,il.jpg",24629,jpg,cinema,il cinema,words/{word_uuid}/flashcard.jpg
183,word,"city ,town ,la.jpg",17546,jpg,"city, town",la città,words/{word_uuid}/flashcard.jpg
184,word,"classroom ,l (f).jpg",14561,jpg,classroom,l‘ aula (f),words/{word_uuid}/flashcard.jpg
185,word,"clean ,v.jpg",26016,jpg,"to clean, to clean up",pulire,words/{word_uuid}/flashcard.jpg
186,word,"clear ,light (colour) ,adj.jpg",15453,jpg,"clear, light (colour)",chiaro,words/{word_uuid}/flashcard.jpg
187,word,"client, customer (mf) ,n.jpg",26899,jpg,"client, customer (m/f)",il cliente (la cliente),words/{word_uuid}/flashcard.jpg
188,word,"clock ,l (m).jpg",20566,jpg,clock,l‘ orologio (m),words/{word_uuid}/flashcard.jpg
189,word,"cloth, rag ,n.jpg",33418,jpg,"cloth, rag",lo straccio,words/{word_uuid}/flashcard.jpg
190,word,"clothes ,npl.jpg",24479,jpg,clothes,i vestiti,words/{word_uuid}/flashcard.jpg
191,word,"cloud ,la.jpg",15878,jpg,cloud,la nuvola,words/{word_uuid}/flashcard.jpg
192,word,"cloudy ,adj.jpg",19763,jpg,cloudy,nuvoloso,words/{word_uuid}/flashcard.jpg
194,word,"coat ,il.jpg",19316,jpg,coat,il cappotto,words/{word_uuid}/flashcard.jpg
196,word,"coffee ,il.jpg",38176,jpg,coffee,il caffè,words/{word_uuid}/flashcard.jpg
197,word,"coin ,currency ,la.jpg",44273,jpg,"coin, currency",la moneta,words/{word_uuid}/flashcard.jpg
198,word,"cold ,adj.jpg",10100,jpg,cold,freddo,words/{word_uuid}/flashcard.jpg
199,word,"color ,il.jpg",32600,jpg,color,il colore,words/{word_uuid}/flashcard.jpg
200,word,"comb ,il.jpg",9249,jpg,comb,il pettine,words/{word_uuid}/flashcard.jpg
202,word,"comfortable ,adj.jpg",17249,jpg,comfortable,comodo,words/{word_uuid}/flashcard.jpg
203,word,"congratulations ,exc.jpg",27259,jpg,congratulations!,congratulazioni!,words/{word_uuid}/flashcard.jpg
204,word,"cool ,adj.jpg",23230,jpg,cool,fresco,words/{word_uuid}/flashcard.jpg
205,word,"corkscrew ,il.jpg",9501,jpg,corkscrew,il cavatappi,words/{word_uuid}/flashcard.jpg
206,word,"corn (maize) ,il.jpg",27880,jpg,corn (maize),il granturco,words/{word_uuid}/flashcard.jpg
207,word,"corner ,l (m).jpg",28002,jpg,"corner, angle",l‘ angolo (m),words/{word_uuid}/flashcard.jpg
208,word,"correct ,adj.jpg",9161,jpg,correct,corretto,words/{word_uuid}/flashcard.jpg
209,word,"country ,il.jpg",15100,jpg,"village, country",il paese,words/{word_uuid}/flashcard.jpg
210,word,"countryside ,la.jpg",22903,jpg,countryside,la campagna,words/{word_uuid}/flashcard.jpg
211,word,"couple ,la.jpg",25160,jpg,couple,la coppia,words/{word_uuid}/flashcard.jpg
212,word,"cousin ,il.jpg",21586,jpg,cousin (male),il cugino,words/{word_uuid}/flashcard.jpg
214,word,"crazy (mad) ,adj.jpg",26067,jpg,crazy (mad),matto,words/{word_uuid}/flashcard.jpg
215,word,"cream ,la.jpg",9738,jpg,cream,la crema,words/{word_uuid}/flashcard.jpg
216,word,"crowd ,la.jpg",58229,jpg,crowd,la folla,words/{word_uuid}/flashcard.jpg
217,word,"cucumber ,il.jpg",17458,jpg,cucumber,il cetriolo,words/{word_uuid}/flashcard.jpg
218,word,"cup ,la.jpg",27567,jpg,cup (mug),la tazza,words/{word_uuid}/flashcard.jpg
219,word,"cupboard ,l (m).jpg",26589,jpg,cupboard,l‘ armadio (m),words/{word_uuid}/flashcard.jpg
220,word,"curtain ,la.jpg",16237,jpg,curtain,la tenda,words/{word_uuid}/flashcard.jpg
221,word,"cushion ,il.jpg",16789,jpg,"cushion, pillow",il cuscino,words/{word_uuid}/flashcard.jpg
222,word,"Customs ,la.jpg",18613,jpg,customs,la dogana,words/{word_uuid}/flashcard.jpg
223,word,"dad ,il.jpg",22235,jpg,dad,il papà,words/{word_uuid}/flashcard.jpg
226,word,"dark (obscure) ,adj.jpg",19355,jpg,"dark (lacking light, obscure)",buio,words/{word_uuid}/flashcard.jpg
227,word,"dark (tan) ,adj.swf",1260,swf,dark (ie tan),scuro,words/{word_uuid}/flashcard.png
228,word,"date ,la.jpg",12667,jpg,date,la data,words/{word_uuid}/flashcard.jpg
229,word,"date of birth ,la.jpg",16254,jpg,date of birth,la data di nascita,words/{word_uuid}/flashcard.jpg
230,word,"daughter ,la.jpg",17160,jpg,daughter,la figlia,words/{word_uuid}/flashcard.jpg
231,word,"day ,il.swf",4796,swf,day,il giorno,words/{word_uuid}/flashcard.png
232,word,"death ,la.jpg",19299,jpg,death,la morte,words/{word_uuid}/flashcard.jpg
233,word,"December ,m.swf",11711,swf,December,dicembre (m),words/{word_uuid}/flashcard.png
234,word,"degree ,il.jpg",23218,jpg,degree,il grado,words/{word_uuid}/flashcard.jpg
235,word,"delay ,il.jpg",32713,jpg,delay,il ritardo,words/{word_uuid}/flashcard.jpg
236,word,"delicious ,adj.jpg",16892,jpg,delicious,delizioso,words/{word_uuid}/flashcard.jpg
237,word,"delighted ,adj.jpg",21690,jpg,delighted,lieto,words/{word_uuid}/flashcard.jpg
238,word,"delivery ,la.jpg",8719,jpg,delivery,la consegna,words/{word_uuid}/flashcard.jpg
239,word,"departure ,la.jpg",32203,jpg,departure,la partenza,words/{word_uuid}/flashcard.jpg
240,word,"desire ,il.jpg",12282,jpg,desire,il desiderio,words/{word_uuid}/flashcard.jpg
241,word,"dessert ,il.jpg",25479,jpg,dessert,il dolce,words/{word_uuid}/flashcard.jpg
242,word,"dictionary ,il.jpg",22409,jpg,dictionary,il dizionario,words/{word_uuid}/flashcard.jpg
243,word,"difficult ,adj.jpg",29469,jpg,difficult,difficile,words/{word_uuid}/flashcard.jpg
244,word,"dirty ,adj.jpg",20197,jpg,dirty,sporco,words/{word_uuid}/flashcard.jpg
246,word,"discipline ,la.jpg",14405,jpg,discipline,la disciplina,words/{word_uuid}/flashcard.jpg
247,word,"disco ,la.jpg",25499,jpg,disco,la discoteca,words/{word_uuid}/flashcard.jpg
248,word,"discount ,il.jpg",10592,jpg,discount,lo sconto,words/{word_uuid}/flashcard.jpg
249,word,"dish ,plate ,il.jpg",18371,jpg,"dish, plate",il piatto,words/{word_uuid}/flashcard.jpg
250,word,"dishwasher ,la.jpg",30991,jpg,dishwasher,la lavapiatti,words/{word_uuid}/flashcard.jpg
251,word,"district ,il.jpg",33914,jpg,district,il distretto,words/{word_uuid}/flashcard.jpg
252,word,"divorce ,il.jpg",24562,jpg,divorce,il divorzio,words/{word_uuid}/flashcard.jpg
254,word,"document ,il.jpg",13483,jpg,document,il documento,words/{word_uuid}/flashcard.jpg
255,word,"dog ,il.jpg",26676,jpg,dog,il cane,words/{word_uuid}/flashcard.jpg
256,word,"doll ,la.jpg",17671,jpg,doll,la bambola,words/{word_uuid}/flashcard.jpg
257,word,"dont mention it ,youre welcome ,exc.jpg",14405,jpg,"don`t mention it!, you`re welcome",non c‘è di che,words/{word_uuid}/flashcard.jpg
258,word,"donkey ,l (m).jpg",47039,jpg,donkey,l‘ asino (m),words/{word_uuid}/flashcard.jpg
259,word,"door ,la.jpg",16815,jpg,door,la porta,words/{word_uuid}/flashcard.jpg
260,word,"double bed ,il.jpg",28316,jpg,double bed,il letto matrimoniale,words/{word_uuid}/flashcard.jpg
261,word,"drawer ,il.jpg",13944,jpg,drawer,il cassetto,words/{word_uuid}/flashcard.jpg
262,word,"dress ,il.jpg",12928,jpg,dress,il vestito,words/{word_uuid}/flashcard.jpg
263,word,"dressing table ,la.jpg",17479,jpg,dressing table,la toilette,words/{word_uuid}/flashcard.jpg
264,word,"drink ,la.jpg",9270,jpg,drink,la bevanda,words/{word_uuid}/flashcard.jpg
265,word,"driver (mf) ,n.jpg",35623,jpg,driver (m),il guidatore,words/{word_uuid}/flashcard.jpg
268,word,"dry ,adj.jpg",52641,jpg,dry,secco,words/{word_uuid}/flashcard.jpg
269,word,"duck ,l (f).jpg",39034,jpg,duck,l‘ anatra (f),words/{word_uuid}/flashcard.jpg
270,word,"during ,prep.jpg",8701,jpg,during,durante,words/{word_uuid}/flashcard.jpg
271,word,"duvet ,il.jpg",13655,jpg,duvet,il piumone,words/{word_uuid}/flashcard.jpg
272,word,"each ,adj.jpg",13517,jpg,"each, every",ogni,words/{word_uuid}/flashcard.jpg
273,word,"ear ,l (m).jpg",14522,jpg,ear,l‘ orecchio (m),words/{word_uuid}/flashcard.jpg
275,word,"easy ,adj.jpg",29219,jpg,easy,facile,words/{word_uuid}/flashcard.jpg
276,word,"education ,l (f).jpg",29462,jpg,education,l‘ educazione (f),words/{word_uuid}/flashcard.jpg
277,word,"effort, stress ,n.jpg",17706,jpg,"effort, stress",lo sforzo,words/{word_uuid}/flashcard.jpg
278,word,"egg ,l (m).jpg",25478,jpg,egg,l‘ uovo (m),words/{word_uuid}/flashcard.jpg
279,word,"eight ,num.swf",1460,swf,eight,otto,words/{word_uuid}/flashcard.png
280,word,"eighteen ,num.swf",594,swf,eighteen,diciotto,words/{word_uuid}/flashcard.png
282,word,"eighty ,num.swf",442,swf,eighty,ottanta,words/{word_uuid}/flashcard.png
283,word,"either of them ,conj.jpg",51738,jpg,either of them,l‘uno o l‘altro,words/{word_uuid}/flashcard.jpg
284,word,"razor ,il.jpg",17910,jpg,razor,il rasoio,words/{word_uuid}/flashcard.jpg
285,word,"electrical appliance ,l (m).jpg",36988,jpg,electrical appliance,l‘ attrezzo elettrodomestico (m),words/{word_uuid}/flashcard.jpg
286,word,"electricity ,l (f).jpg",16279,jpg,electricity,l‘ elettricità (f),words/{word_uuid}/flashcard.jpg
287,word,"eleven ,num.swf",818,swf,eleven,undici,words/{word_uuid}/flashcard.png
288,word,"embrace ,hug ,l (m).jpg",16576,jpg,"embrace, hug",l‘ abbraccio (m),words/{word_uuid}/flashcard.jpg
289,word,"end ,la.jpg",14874,jpg,end,la fine,words/{word_uuid}/flashcard.jpg
291,word,"engine ,il.jpg",25049,jpg,engine,il motore,words/{word_uuid}/flashcard.jpg
292,word,"enjoy your meal ,exc.jpg",17628,jpg,enjoy your meal!,buon appetito!,words/{word_uuid}/flashcard.jpg
293,word,"enough ,adj.jpg",22888,jpg,enough,abbastanza,words/{word_uuid}/flashcard.jpg
294,word,"entrance ,l (f).jpg",20173,jpg,entrance,l‘ entrata (f),words/{word_uuid}/flashcard.jpg
295,word,"eraser ,rubber ,la.jpg",16895,jpg,"eraser, rubber",la gomma,words/{word_uuid}/flashcard.jpg
297,word,"even ,included ,adj.jpg",25891,jpg,"even, included",incluso,words/{word_uuid}/flashcard.jpg
